Planet Name,Planet Radius (Earth),Planet Mass (Earth),Orbital Distance (AU),Star Temperature (K),Habitability Label
HD 106315 b,2.44,12.6,0.0907,6327.0,0
HD 106315 c,4.35,15.2,0.1536,6327.0,0
HD 110067 b,2.2,5.69,0.0793,5266.0,0
HD 110067 c,2.388,6.3,0.1039,5266.0,0
HD 110067 d,2.852,8.52,0.1362,5266.0,0
HD 110067 e,1.94,3.9,0.1785,5266.0,0
HD 110067 f,2.601,5.04,0.2163,5266.0,0
HD 110067 g,2.607,8.4,0.2621,5266.0,0
HD 110113 b,2.05,4.55,0.035,5732.0,0
HD 114082 b,11.2089807,2542.627256,0.5109,6651.0,0
HD 118203 b,12.55405838,693.50158407,0.0701,5788.0,0
HD 118203 b,12.06086323,725.28442477,0.08635,5872.0,0
HD 118203 b,12.778238,680.15279098,0.0713,5742.0,0
HD 118203 b,12.73340208,688.41632956,0.07071,5683.0,0
HD 135344 A b,16.25302201,3178.28407,16.5,9540.0,0
HD 135694 b,2.5320132,6.1,0.12,5698.0,0
HD 135694 b,2.51,5.7,0.12,5710.0,0
HD 136352 b,1.664,4.72,0.0964,5664.0,0
HD 136352 b,1.482,4.62,0.0969,5850.0,0
HD 136352 c,2.608,11.29,0.1729,5850.0,0
HD 136352 c,2.916,11.24,0.1721,5664.0,0
HD 136352 d,2.562,8.82,0.425,5664.0,0
HD 137496 b,1.31,4.04,0.02732,5799.0,0
HD 1397 b,11.466807,116.64361,0.1003,5474.0,0
HD 1397 b,11.500434,131.89945,0.1097,5521.0,0
HD 149026 b,9.090499,102.34126,0.04364,6160.0,0
HD 149026 b,8.127,114.8,0.042,6147.0,0
